song,lyrics
radiogaga,  Radio    Radio    I'd sit alone and watch your light  My only friend through teenage nights  And everything I had to know  I heard it on my radio    You gave them all those old-time stars  Through wars of worlds invaded by Mars  You made 'em laugh  you made 'em cry  You made us feel like we could fly    Radio    So  don't become some background noise  A backdrop for the girls and boys  Who just don't know or just don't care  And just complain when you're not there    You had your time  you had the power  You've yet to have your finest hour  Radio  radio    All we hear is &quot;Radio ga ga  Radio goo goo  Radio ga ga&quot;  All we hear is &quot;Radio ga ga  &quot;Radio blah blah&quot;  Radio  what's new?  Radio  someone still loves you    We watch the shows  we watch the stars  On videos for hours and hours  We hardly need to use our ears  How music changes through the years    Let's hope you never leave  old friend  Like all good things on you we depend  So  stick around 'cause we might miss you  When we grow tired of all this visual    You had your time  you had the power  You've yet to have your finest hour  Radio  radio    All we hear is &quot;Radio ga ga  Radio goo goo  Radio ga ga&quot;  All we hear is &quot;Radio ga ga  Radio goo goo  Radio ga ga&quot;    All we hear is &quot;Radio ga ga  Radio blah blah&quot;  Radio  what's new?  Someone still loves you    Radio ga ga  Radio ga ga  Radio ga ga    You had your time  you had the power  You've yet to have your finest hour  Radio  radio            
tearitup,  Are you ready? - well are you ready?  Give me your mind baby give me your body  Give me some time baby let's have a party  It ain't no time for sleepin' baby    Soon it's round your street I'm creeping    We gonna Tear it up  Stir it up  Break it up - Baby -    You gotta Tear it up  Shake it up  Make it up - as you go along.    Tear it up  Square it up  Wake it up - Baby.    Tear it up  Stir it up  Stake it out - and you can't go wrong.  (Hey)  I love you cos you're sweet and I love you cos you're naughty  I love you for you mind but give me your body  I wanna be a toy at your birthday party  Wind me up - wind me up - wind me up - let me go -    Tear it up  Stir it up  Break it up - let me go.    Tear it up  Shake it up  Make it up - as you go along.    Tear it up  Turn it up  Burn it up.    Baby baby baby are you ready for me? (Oh yeah)  Baby baby baby are you ready for love? (Oh yeah)  Are you ready - are you ready - are you ready for me? (Oh yeah)  I love you so near  I love you so far  I gotta tell you baby you're driving me Ga Ga.            
itsahardlife,  I don't want my freedom  There's no reason for living with a broken heart    This is a tricky situation  I've only got myself to blame  It's just a simple fact of life  It can happen to anyone    You win you lose  It's a chance you have to take with love  Oh yeah I fell in love  But now you say it's over and I'm falling apart    Yeah yeah it's a hard life  To be true lovers together  To love and live forever in each others hearts  It's a long hard fight  To learn to care for each other  To trust in one another right from the start  When you're in love    I try and mend the broken pieces  I try to fight back the tears  They say it's just a state of mind  But it happens to everyone    How it hurts (yeah) deep inside (oh yeah)  When your love has cut you down to size  Life is tough on your own  Now I'm waiting for something to fall from the skies  I'm waiting for love    Yes it's a hard life  Two lovers together  To love and live forever in each others hearts  It's a long hard fight  To learn to care for each other  To trust in one another right from the start  When you're in love    Yeah it's a hard life  In a world that's filled with sorrow  There are people searching for love in every way    It's a long hard fight  But I'll always live for tomorrow  I'll look back on myself and say I did it for love  Yes I did it for love for love oh I did it for love            
manontheprowl,  I'm gonna take a little walk on the wild side  I'm gonna loosen up and get me some gas  I'm gonna get me some action  Go crazy  driving in the fast lane  My baby left me alone  She done me dirty and I'm feeling so lonely  So come home  come home  If you don't you're gonna break my heart.    Man on the prowl  You better watch out  I'm on the loose and I'm looking for trouble  So look out - look out  I'm a man on the prowl.    I don't wanna be a rock 'n' roll steady  I just wanna be low down trash  I wanna go to the movies  All I wanna do is sit on my ass  So honey come home  Don't leave me when I'm feeling so lonely  Come home - come home  If you don't you're gonna break my heart.    Man on the prowl  You better watch out  I'm on the loose and I'm looking for trouble  So look out - look out  I'm a man on the prowl.    Well I keep dreaming about my baby  But it ain't gonna get me nowhere  I wanna teach my baby dancin'  But I ain't no Fred Astaire.    So baby look out - I'm a man on the prowl  Look out - man on the prowl - yeah  Baby  baby  baby look out - man on the prowl.    Baby come home  I'm on the loose and I'm looking for trouble  Baby come home - oh yeah  Cause I'm a man on the prowl  So honey come home - come home  Cause I'm a man on the prowl - yeah  Man on the prowl.            
machinesorbacktohumans,  Machines. <i>[repeat]</i>    It's a machine's world.  Don't tell me I ain't got no soul.  When the machines take over   It ain't no place for rock'n'roll.    They tell me I don't care   But deep inside I'm just a man.    They freeze me  they burn me   They squeeze me  they stress me.  With smoke-blackened pistons of steel they compress me   But no one  but no one  but no one can wrest me away.    Back to humans.    We have no disease  no troubles of mind.  We are fighting for peace  no regard for the time.  We never cry  we never retreat.  We have no conception of love or defeat.    What's that machine noise?  It's bytes and mega chips for tea.  It's that machine  boys  With random-access memory.    Never worry  never mind.  Not for money  not for gold.    Its software  its hardware   Its heartbeat  its time-share   Its midwife's a disk drive   Its sex life is quantised.  Its self-perpetuating a parahumanoidarianised.    Back to humans.  Back to humans.    Back to machines.  Machines.  Machines.  Machines.  Machines.    Living in a new world.  Thinking in the past.  Humans.  Living in a new world.  How you gonna last?  Humans.    Machine world.  It's a machine's world.    Living in a new world.  Thinking in the past.  Back to humans.  Living in a new world.  How you gonna last?    Machine world.  Machine world.  Machine world.    Change.    Machine world.    Yeah  I'm coming.    Back to humans.  Back to humans.  Back to humans.    Living in a new world.  How you gonna last?  Machine world.  It's a machine's world.            
iwanttobreakfree,  I want to break free  I want to break free  I want to break free from your lies  You're so self satisfied I don't need you  I've got to break free  God knows  God knows I want to break free    I've fallen in love  I've fallen in love for the first time    And this time I know it's for real  I've fallen in love  yeah  God knows  God knows I've fallen in love    It's strange but it's true  I can't get over the way you love me like you do  But I have to be sure  When I walk out that door  Oh how I want to be free  baby  Oh how I want to be free  Oh how I want to break free    But life still goes on  I can't get used to  living without  living without  Living without you by my side  I don't want to live alone  hey  God knows  got to make it on my own  So baby can't you see  I've got to break free    I've got to break free  I want to break free  yeah    I want  I want  I want  I want to break  Free            
keeppassingtheopenwindows,  This is the only life for me  Surround myself around my own fantasy  You just gotta be strong and believe in yourself  Forget all the sadness cause love is all you need.    Do you know what it's like to be alone in this world  When you're down and out on your luck and you're a failure  Wake up screaming in the middle of the night  You think it's all been a waste of time  It's been a bad year  You start believing everything's gonna be alright  Next minute you're down and you're flat on your back  A brand new day is beginning  Get that sunny feeling and you're on your way.    Just believe - just keep passing the open windows  Just believe - just keep passing the open windows  Do you know how it feels when you don't have a friend  Without a job and no money to spend  You're a stranger    All you think about is suicide  One of these days you're gonna lose the fight  You better keep out of danger - yeah  That same old feeling just keeps burning deep inside  You keep telling yourself it's gonna be the end  Oh get yourself together  Things are looking better everyday    Just believe - just keep passing the open windows  Just believe - just keep passing the open windows.    This is the only life for me  Surround myself around my own fantasy  You just gotta be strong and believe in yourself  Forget all the sadness cause love is all you need.    You just gotta be strong and believe in yourself  Forget all the sadness cause love is all you need.    Love is all you need - baby - love is all you need.    Just believe - just keep passing the open windows.            
hammertofall,  Here we stand or here we fall  History won't care at all  Make the bed  light the light  Lady Mercy won't be home tonight    You don't waste no time at all  Don't hear the bell but you answer the call  It comes to you as to us all  We're just waiting for the hammer to fall    Oh  every night and every day  A little piece of you is falling away  But lift your face the Western Way  Build your muscles as your body decays    Tow your line and play their game  Let the anaesthetic cover it all  'Til one day they call your name  You know it's time for the hammer to fall    Rich or poor or famous for  Your truth it's all the same  (Oh  no! Oh  no!)  Lock your door but rain is pouring  Through your window pane  (Oh  no!)  Baby  now your struggle's all in vain    For he who grew up tall and proud  In the shadow of the Mushroom Cloud  Convinced our voices can't be heard  We just wanna scream it louder and louder and louder    What the hell we fighting for?  Just surrender and it won't hurt at all  You just got time to say your prayers  While you're waiting for the hammer toxe2x80x94hammer to fall    Hey! Yes  It's going to fall! Yeah!  Hammer!  You know  Yeah!  Hammer to fall!    Hammer!  Yeah!    Waiting for the hammer to fall  baby!  While you're waiting for the hammer to fall    Give it to me one more time!            
isthistheworldwecreated,  Just look at all those hungry mouths we have to feed  Take a look at all the suffering we breed  So many lonely faces scattered all around  Searching for what they need.    Is this the world we created?  What did we do it for?  Is this the world we invaded  Against the law?  So it seems in the end.  Is this what we're all living for today?  The world that we created.    You know that everyday a helpless child is born  Who needs some loving care inside a happy home  Somewhere a wealthy man is sitting on his throne  Waiting for life to go by.    Is this the world we created?  We made it on our own.  Is this the world we devastated  Right to the bone?    If there's a God in the sky looking down   What can he think of what we've done  To the world that He created?            
igocrazy,  I took my baby to see a heavy band  But I never saw my baby 'till the encore  She had the singer by the hand  I didn't wanna cry 'cause I had to be cool  I didn't wanna tell you that you're too cruel  Did you have to run off with that dog-gone fool?    All I gotta do is think about you  Ev'ry night and day I go crazy  All I gotta do is get my hands on you  You better stay away from me baby    I wouldn't mind the postman if the neighbours didn't know  Or the gas man the electric man - man to fix the car  I'd have to let it go  But you had to bring me down for a rock 'n roll clone  Leave me like a sucker standing all alone  Did you have to run off with that rolling stone?    All I gotta do is think about you  Ev'ry night and day I go crazy  All I gotta do is get my hands on you  You better stay away from me baby    So I ain't gonna go and see the Rolling Stones no more  no more    I don't wanna go see Queen no more no more    Now I don't wanna hurt you like you been a-hurting me  But you know that I'll be watching  Rolling on the floor next time you're on TV  Had enough of your pretending that you know where it's at  Coming on to all the boys like a real spoilt brat  To think that I nearly let you get away with all that  No way man    All I gotta do is think about you  Ev'ry night and day I go crazy  All I gotta do is get my hands on you            
onevision,  One man  one goal   One mission.  One heart  one soul   Just one solution.    One flash of light.  One god  one vision.    One flesh  one bone   One true religion.  One voice  one hope   One real decision.    Gimme one vision.    No wrong  no right.  I'm gonna tell you there's no black and no white.  No blood  no stain.  All we need is one world-wide vision.    One flesh  one bone   One true religion.  One race  one hope   One real decision.    I had a dream when I was young   A dream of sweet illusion:  A glimpse of hope and unity   And visions of one sweet union.    But a cold wind blows   And a dark rain falls   And in my heart it shows.  Look what they've done to my dream.    One vision!    So give me your hands   Give me your hearts.  I'm ready.  There's only one direction.  One world  one nation   One vision.    No hate  no fight   Just excitation.  All through the night  It's a celebration.    One.    One vision.    One flesh  one bone   One true religion.  One voice  one hope   One real decision.    Gimme one night.  Gimme one hope.  Just gimme.  One man  one man   One bar  one night   One day.  Just gimme gimme  gimme  gimme.  Fried chicken.  Vision.            
akindofmagic,  It's a kind of magic.  It's a kind of magic.  A kind of magic.    One dream  one soul   One prize  one goal.  One golden glance of what should be.    It's a kind of magic.    One shaft of light that shows the way.  No mortal man can win this day.    It's a kind of magic.    The bell that rings inside your mind  Is challenging the doors of time.    It's a kind of magic.    The waiting seems eternity.  The day will dawn of sanity.    Is this a kind of magic?  (It's a kind of magic.)  There can be only one.  This rage that lasts a thousand years  Will soon be done.    This flame that burns inside of me.  I'm hearing secret harmonies.    It's a kind of magic.    The bell that rings inside your mind  Is challenging the doors of time.    It's a kind of magic.  It's a kind of magic.    This rage that lasts a thousand years  Will soon bexe2x80x94  Will soon bexe2x80x94  Will soon be done.    This is (this is) a kind (a kind) of magic.  There can be only one.  This rage that lasts a thousand years  Will soon be done. (Done.)    Magic.  It's a kind of magic.  It's a kind of magic  magic  magic  magic  magic.    It's magic.    It's a kind of magic.            
oneyearoflove,  Just one year of love  Is better than a lifetime alone.  One sentimental moment in your arms  Is like a shooting star right through my heart.    It's always a rainy day without you.  I'm a prisoner of love inside you.  I'm falling apart all around you.  Yeah.    My heart cries out to your heart.  I'm lonely but you can save me.  My hand reaches out for your hand.  I'm cold but you light the fire in me.    My lips search for your lips.  I'm hungry for your touch.  There's so much left unspoken.  And all I can do is surrender to the moment.  Just surrender.    And no one ever told me  That love would hurt so much.  (Ooh  yes  it hurts.)  And pain is so close to pleasure.  And all I can do is surrender to your love.  Just surrender to your love.    Just one year of love  Is better than a lifetime alone.  One sentimental moment in your arms  Is like a shooting star right through my heart.    It's always a rainy day without you.  I'm a prisoner of love inside you.  I'm falling apart all around you.  And all I can do is surrender.            
painissoclosetopleasure,  Pain is so close to pleasure.  Sunshine and rainy weather  Go hand in hand together  All your life.    Pain is so close to pleasure.  Everybody knows:  One day we love each other  Then we're fighting one another  All the time.    When I was young and just getting started   And people talked to me: they sounded broken hearted.  Then I grew up and got my imagination   And all I wanted was to start a new relation.    So in love  but love had a bad reaction.  I was looking for some good old satisfaction   But pain is all I got  When all I needed was some love and affection.    Pain is so close to pleasure.  Sunshine and rainy weather  Go hand in hand together  All your life.    Pain and pleasure.  Pain and pleasure.    When your plans go wrong and you turn out the light   But inside of your mind you put up a fight.    Where are the answers that we're all searching for?  There's nothing in this world to be sure of anymore.  Some days you're feeling good  some days you're feeling bad   But if you're feeling happy someone else is always sad.    Let the sweetness of love wipe the tears from your face  For better  for worse.  So let's make the best of the rest of our years.    Pain is so close to pleasure.  I told you so.  Sunshine and rainy weather  Go hand in hand together  All your life.    Pain and pleasure.    Pain is so close to pleasure.  Sunshine and rainy weather  Go hand in hand together  All your life.    All your life.  Pain  pleasure.            
friendswillbefriends,  Another red letter day  So the pound has dropped and the children are creating  The other half ran away  Taking all the cash and leaving you with the lumber    Got a pain in the chest  Doctors on strike what you need is a rest    It's not easy love  But you've got friends you can trust    Friends will be friends  When you're in need of love they give you care and attention  Friends will be friends  When you're through with life and all hope is lost  Hold out your hand  'Cause friends will be friends  Right 'til the end    Now it's a beautiful day  The postman delivered a letter from your lover  Only a phone call away  You tried to track him down but somebody stole his number    As a matter of fact  You're getting used to life without him in your way    It's so easy now  'Cause you got friends you can trust    Friends will be friends  When you're in need of love they give you care and attention  Friends will be friends  When you're through with life and all hope is lost  Hold out your hand  'Cause friends will be friends  Right 'til the end    It's so easy now  'Cause you got friends you can trust    Friends will be friends  When you're in need of love they give you care and attention  Friends will be friends  When you're through with life and all hope is lost  Hold out your hand  'Cause friends will be friends  Right 'til the end    Friends will be friends  When you're in need of love they give you care and attention  Friends will be friends  When you're through with life and all hope is lost  Hold out your hand  'Cause right 'til the end  Friends will be friends            
whowantstoliveforever,  There's no time for us.  There's no place for us.  What is this thing that builds our dreams  yet slips away from us?    Who wants to live forever?  Who wants to live forever?  There's no chance for us.  It's all decided for us.  This world has only one sweet moment set aside for us.    Who wants to live forever?  Who wants to live forever?    Who dares to love forever  When love must die?    But touch my tears with your lips   Touch my world with your fingertips     And we can have forever   And we can love forever.  Forever is our today.    Who wants to live forever?  Who wants to live forever?  Forever is our today.    Who waits forever anyway?            
gimmetheprize,  <i>[News reporter:]</i>  The garage is watered from the sprinklers. It also left a man's decapitated body lying on the floor next to his own severed head. The head  which of this time  has no name.    <i>[The Kurgan:]</i> I know his name.    Here I am   I'm the master of your destiny.    I am the one  the only one   I am the god of kingdom come.  Gimme the prize   Just gimme the prize.    Give me your kings   Let me squeeze them in my hands.  Your puny princes   Your so-called leaders of your land:    I'll eat them whole  Before I'm done.  The battle's fought  And the game is won.    I am the one  the only one   I am the god of kingdom come.  Gimme the prize   Just gimme the prize.    <i>[The Kurgan:]</i>  Now you die.  I have something to say: It's better to burn out than to fade away.  There can be only one.    Move over! I said move over!    Hey  hey  hey  clear the way!  There's no escape from my authority.    I tell you:    I am the one  the only one   I am the god of kingdom come.  Gimme the prize   Just gimme the prize.    I am the only one   I am the god of kingdom come.  Gimme the prize.    <i>[Connor MacLeod:]</i>  There can be only one.            
dontloseyourhead,  Don't lose your head.  Don't lose your head.  Don't lose your head.  (Don't lose your head.)  No  don't lose your head.  (Don't lose your head.)    Hear what I say:  Don't lose your way.    Remember: love's stronger.  Remember: love walks tall.    Don't lose your heart.  (Don't lose your heart.)  No  don't lose your heart.  (Don't lose your heart.)    (Hear what I say:)  Hear what I say:  (Don't lose your way.)  Don't lose your way.    Remember: love's stronger.  Remember: love walks through walls.    Don't drink and drive a car.  Don't get breathalysed.  Don't lose your head.    If you make it to the top  And you wanna stay alive   Don't lose your head.    Don't lose your head.    Don't lose your head.  (Don't lose your head.)  No  don't lose your head.  (Don't lose your head.)    (Hear what I say:)  Hear what I say:  (Don't lose your way. Hey!)  Don't lose your way.    Remember: love's stronger.  Remember: love conquers all.    Don't lose your head.  Don't lose your head.    Don't lose your head.  Don't lose your head.  Don't lose your head.    Don't lose your head.    Don't lose your head.  Don't lose your head.  Don't lose your head.  <i>[Repeat until fade out]</i>            
princesoftheuniverse,  Here we are.  Born to be kings.  We're the princes of the universe.    Here we belong.  Fighting to survive in a war with the darkest powers.    And here we are.  We're the princes of the universe.  Here we belong   Fighting for survival.  We've come to be the rulers of your world.    I am immortal.  I have inside me blood of kings.  I have no rival.  No man can be my equal.  Take me to the future of your world.    Born to be kings.  Princes of the universe.  Fighting and free.  Got your world in my hand.  I'm here for your love and I'll make my stand.  We were born to be princes of the universe.    No man could understand.  My power is in my own hand.  Ooh  ooh  ooh  ooh.  People talk about you.  People say you've had your day.    I'm a man that will go far.  Fly the moon and reach for the stars   With my sword and head held high.  Got to pass the test first time.    I know that people talk about me.  I hear it every day   But I can prove you wrong  'Cause I'm right first time.    Alright  let's go  let's go  ha  ha.  Watch this man fly.  Bring on the girls.  Come on  come on  come on.    Here we are. (Here we are!)  Born to be kings.  We're the princes of the universe.  Here we belong.    Born to be kings.  Princes of the universe.  Fighting and free.  Got your world in my hand.  I'm here for your love and I'll make my stand.  We were born to be princes of the universe.            
party,  We had a good night jamming away   There was a full moon showing   And we started to play   But in the cold light of day next morning  Party was over   The party was over.    We got love and we got style   And we got sex and I know we got what it takes oh  oh   Why don't you come back and play   Come back and play  come back and play   We got all night all day   Everybody's gone away   Why don't you come back and play  come back and play  come back and play   Come back and play  Go get 'em boy - let's party   We had a food fight in somebody's face   We were up all night singing  And giving a chase   But in the cold light of day next morning.  Everybody was hung-over.  Come back and play  come back and play   We got all night all day   Everybody's gone away   Why don't you come back and play   Come back and play   We got all night and we got all day   We got all night to play   Come back  comeback  comeback  comeback  comeback and play   Goodbye  Goodbye  goodbye  goodbye  the party is over.            
khashoggisship,  Who said that my party was all over  huh  huh   I'm in pretty good shape   The best years of my life are like a super nova   Huh  huh  perpetual craze  I said that  Everybody drank my wine -you get my drift   And then we took a holiday on Khashoggi's ship - well   We really had a good good time they was all so sexy  We was bad  we was blitzed   All in all it was a pretty good trip   This big bad sucker with a fist as big as your head   Wanted to get me  I said go away  I said kiss my ass honey   He pulled out a gun  wanted to arrest me   I said uh  uh  babe   Now listen no-one stops my party   No-one stops my party   No-one  no-one  no-one stops my party   Just like I said   We were phased  we was pissed   Just having a total eclipse   This one's on me so let us do it just right   This here one party don't get started 'till midnight   Party to the left -  Party to the right -  Left - right  No-one stops my .....            
themiracle,  Every drop of rain that falls in Sahara Desert says it all   It's a miracle   All God's creations great and small  the Golden Gate and the Taj Mahal   That's a miracle   Test tube babies being born  mothers  fathers dead and gone   It's a miracle   We're having a miracle on earth  mother nature does it all for us   The wonders of this world go on  the hanging Gardens of Babylon   Captain Cook and Cain and Able  Jimi Hendrix to the Tower of Babel  It's a miracle  it's a miracle  it's a miracle  it's a miracle   The one thing we're all waiting for  is peace on earth - an end to war   It's a miracle we need - the miracle  the miracle we're all waiting for today   If every leaf on every tree  could tell a story that would be a miracle   If every child on every street  had clothes to wear and food to eat   That's a miracle   If all God's people could be free  to live in perfect harmony   It's a miracle  we're having a miracle on earth   Mother nature does it all for us  Open hearts and surgery  Sunday mornings with a cup of tea   Super powers always fighting   But Mona Lisa just keeps on smiling     The wonders of this world go on   It's a miracle  it's a miracle  it's a miracle  it's a miracle   The one thing we're all waiting for  is peace on earth and an end to war   It's a miracle we need  the miracle  the miracle   Peace on earth and end to war today   That time will come one day you'll see when we can all be friends   <i>[repeat ...]</i>            
iwantitall,  Adventure seeker on an empty street   Just an alley creeper  light on his feet  A young fighter screaming  with no time for doubt  With the pain and anger can't see a way out   It ain't much I'm asking  I heard him say   Gotta find me a future move out of my way   I want it all  I want it all  I want it all  and I want it now   I want it all  I want it all  I want it all  and I want it now     Listen all you people  come gather round  I gotta get me a game plan  gotta shake you to the ground  Just give me what I know is mine   People do you hear me  just give me the sign   It ain't much I'm asking  if you want the truth  Here's to the future for the dreams of youth   I want it all  I want it all  I want it all  and I want it now   I want it all  I want it all  I want it all  and I want it now     I'm a man with a one track mind   So much to do in one life time (people do you hear me)  Not a man for compromise and where's and why's and living lies  So I'm living it all  yes I'm living it all   And I'm giving it all  and I'm giving it all   It ain't much I'm asking  if you want the truth   Here's to the future  hear the cry of youth   I want it all  I want it all  I want it all  and I want it now   I want it all  I want it all  I want it all  and I want it now   <i>[etc.]</i>            
theinvisibleman,  I'm the invisible man  I'm the invisible man  Incredible how you can  See right through me    When you hear a sound  That you just can't place  Feel somethin' move  That you just can't trace  When something sits  On the end of your bed  Don't turn around  When you hear me tread    I'm the invisible man  I'm the invisible man  Incredible how you can  See right through me  I'm the invisible man  I'm the invisible man  It's criminal how I can  See right through you    Now I'm in your room  And I'm in your bed  And I'm in your life  And I'm in your head  Like the CIA  Or the FBI  You'll never get close  Never take me alive    I'm the invisible man  I'm the invisible man  Incredible how you can  See right through me  I'm the invisible man  I'm the invisible man  It's criminal how I can  See right through you    Hah  hah  hah  hello  Hah  hah  hah  hello  Hah  hah  hah  hello-hello-hello-hello  Never had a real good friend - not a boy or a girl  No-one knows what I've been through - let my flag unfurl  So make my mark from the edge of the world  From the edge of the world  From the edge of the world    Now I'm on your track  And I'm in your mind  And I'm on your back  But don't look behind  I'm your meanest thought  I'm your darkest fear  But I'll never get caught  You can't shake me  shake me dear    I'm the invisible man  I'm the invisible man  Incredible how you can  See right through me  I'm the invisible man  I'm the invisible man  It's criminal how I can  See right through you  Look at me  look at me            
breakthru,  When love breaks up  When the dawn light wakes up  A new life is born  Somehow I have to make this final breakthru now!    I wake up  Feel just fine  Your face  Fills my mind  I get religion quick  'Cos you're looking divine    Honey you're touching something  you're touchin' me  I'm under your thumb  under your spell  can't you see    If I could only reach you  If I could make you smile  If I could only reach you  That would really be a breakthru  Oh yeah    Breakthru  these barriers of pain  Breakthru  yeah  to the sunshine from the rain  Make my feelings known towards you  Turn my heart inside and out for you now  Somehow I have to make this final breakthru now!    Oh yeah    Your smile  Speaks books to me  I break up  With each and every one of your looks at me    Honey you're starting something deep inside of me  Honey you're sparking something  this fire in me  I'm outta control  I wanna rush headlong into this ecstasy    If I could only reach you  If I could make you smile  If I could only reach you  That would really be a breakthru    If I could only reach you  If I could make you smile  If I could only reach you  That would really be a breakthru    Oh  yeah    Breakthru  breakthru    Break  yeah    If I could only reach you  If I could make you smile  If I could only reach you  That would really be a breakthru    If I could only reach you  If I could make you smile  If I could only reach you  That would really be a breakthru    Breakthru            
rainmustfall,  I can see it in your stars  Life is so exciting   Acting so bizarre  Your world is so inviting  Playing really cool  And looking so mysterious  Your every day is full of sunshine  But into every life a little rain must fall.    Anyone who imagines  They can blind you with science  Bully you all over  With property and finance  But you have position  To call the shots and name the price  You found success and recognition  But into every life a little rain must fall    You lead a fairy tale existence  But into every life a little rain must fall    Others seem to think  You are over dramatising  Problems at work  So it's hardly surprising  There's little you can do  To alter their opinions  You want a clean reputation  But now you're facing complications  'Cos into every life a little rain must fall            
scandal,  Scandal - now you've left me all the world's gonna know  Scandal  they're gonna turn our lives into a freak show   They'll see the heart-ache  they'll see our love break   They'll hear me pleading  I'll say for Gods sake   Over and over and over again   Scandal - now you've left me there's no healing the wounds   Hey scandal  and all the world can make us out to be fools   Here come the bad news  open the floodgates  They'll leave us bleeding  we say you cheapskates   Over and over and over again   So let them know when they stare  it's just a private affair   They'll have us hung in the air and tell me what do they care   It's only a life to be twisted and broken   They'll see the heart-ache  they'll see our love break - yeah   They'll hear me pleading  I'll say for Gods sake   Over and over and over and over again   Scandal  scandal   Scandal  yes you're breaking my heart again   Today the headlines  tomorrow hard times   And no-one really knows the truth from the lies   And in the end the story deeper must hide   Deeper and deeper and deeper inside   Scandal  scandal <i>[etc.]</i>            
mybabedoesme,  My baby  Baby does  My baby does  me good  My baby does  May baby does me  My baby does me good    My lady  Understands  Understands me  right    She understands me  She understands me  Understands me right  My baby cares  She really cares  She knows what's really right for me  Does me good then she hurts me so  She winds me up then lets me go  Turns me on and then tells me no  She's just a pussy cat    My baby loves me  My baby loves me  My baby cuffs me  One day she tells me that she cares  Another day she tells me she don't love me  She really really does me            
wasitallworthit,  What is there left for me to do in this life.  Did I achieve what I had set in my sights.  Am I a happy man  or is this sinking sand   Was it all worth it  was it all worth it.  Yeah  now hear my story  let me tell you about it   We bought a drum kit. blew my own trumpet.  Played the circuit  thought we were perfect   Was it all worth it. giving all my heart and soul and  Staying up all night  was it all worth it   Living breathing rock n'roll  a godforsaken life   Was it all worth it  was it all worth it all these years.  Put down our money without counting the cost   It didn't matter if we won - if we lost   Yes we were vicious. yes we could kill   Yes we were hungry. yes we were brill   We served a purpose  like a bloody circus   We were so dandy we love you madly   Was it all worth it. was it all worth it   Living breathing rock n'roll  this godforsaken life   Was it all worth it. was it all worth it   When the hurly burly's done -  We went to Bali  saw God and Dali.  So mystic  surrealistic   Was it all worth it  giving all my heart and soul   Staying up all night  was it all worth it   Living breathing rock n'roll this never ending fight   Was it all worth it  was it all worth it   Yes  it was a worthwhile experience   It was worth it.            
hangoninthere,  Don't let go  don't lose your mystique   Wait a little longer   Tomorrow brings another feast   Don't let go  don't lose your reputation   Thank god you're still alive   You're still in one piece   Hang on in there  don't lose your appetite   Hang on in there  forget the danger signs   Fray for that magical moment and it will appear  (Don't fight for lost emotions )  Wait for the sunrise   And everything will seem so clear   (Look straight ahead  look straight ahead )  Hang on in there  hang on in there  hang on in there   Your wish will be granted   All your problems will disappear   Don't be a fool  you haven't reached your peak   You got a fast car racing up inside you   Your life is incomplete   Hang on in there  hang on in there   Fray for that magical moment and it will appear  (Wait for that moment)   Wait for the sunrise   Just wait and see and it will seem so clear   Let's go  let's go - OK now do the change now   Yeah  hang on in there   Hang on in there <i>[etc.]</i>            
hijackmyheart,  Just walking down the street  One cloudless sunny day  Just minding my business  Thinking my thoughts - nothing much to say  When suddenly I got hit  Imagine my surprise  Your smile came up and zapped me  Right between the eyes  I'd never seen anything to compare  With your smile  I'd never seen anything  That came within miles  My heart got hijacked by you    Stuck in the traffic  Stuck at the lights  What do I see  Some stupid bimbo  In a fast car next to me  She takes off  Imagine my disgust  Like a bat outta hell  I get to eat her dust  I never known anything to compare  With her laugh  I never known anything  That counted by half  My heart got hijacked by you    Hijack my heart  Hijack my heart  Steal my heart    Hijack my heart  Hijack my heart    Look at the city  Look at the streets  What do you see?  Look at the faces  Look at the people  They all wonder me    Suddenly hit by something  They don't get to choose  It comes out of nowhere  Right out of the blue  'Cos I've never seen anything  To compare with your smile  I've never seen anything  That came within miles  My heart got hijacked by you    Hijack my heart  Now you really got a hold on me  You hijacked my heart  Don't you never let me be  Stole my heart  Threw away the key  Ooh ee  baby what's become of me  You hijacked my heart  Now you really got a hold on me  You hijacked my heart  Don't you never let me be            
stealin,  That's the way I am  Does anybody want to know?  This is the way I lead my life  you know  Wheelin' and dealin' and a little bit of stealin'  You know  that's the way I grew up  It's the only life I know  That's the way my mother told me  And they go  Stealin'  I gave you the key to my home  I left you alone  In charge of my heart  Hey  stealin'  You got me wheelin' and dealin'  Playin' with my feelin'  Right from the start    Can't afford to pay my rent  I had to use my common sense  To get some money I owe  uh oh  This guy said look in my head  Make some easy bread  Stealin' is the only way that I know oh  Stealin' hey  Only way that I know  Yeah that I'm stealin' baby stealin'  I gave you board and my own and my own  Left you alone  Now you're stealin' stealin' stealin'  Of my heart  You're my baby's heart  Uh huh eeeee    Baby let it bleed  You're in charge of my heart    You are in charge of my heart  You are in charge of  You are in charge  Ba la ba la dap  Ba la da da da dap  Ba da da da da  Because you are in charge of my heart  I gave you the key  And told of the man  I gave you the key  Looked down on what I said  What have I done?  What have I done?  Yes I have got to bleed  On  on and on  Got to bleed on  On and on  Yes got my heart  Ha ha uh uh uh uh  Wooh            
